position,salary_grade_id
Special Science Teacher III,19
Special Science Teacher IV,22
Special Science Teacher V,24
Special Trade Representative,26
Speech Laboratory Technician,6
Speech Therapist I,10
Speech Therapist II,14
Speech Transcriber,11
Speechwriter,16
Sports and Games Inspector I,6
Sports and Games Inspector II,8
Sports and Games Regulation Officer I,10
Sports and Games Regulation Officer II,14
Sports Development Officer I,10
Sports Development Officer II,14
Sports Development Officer III,18
Sports Development Officer IV,22
Sports Development Officer V,24
State Auditing Examiner I,11
State Auditing Examiner II,13
State Auditor I,16
State Auditor II,19
State Auditor III,22
State Auditor IV,24
State Auditor V,26
State Counsel I,24
State Counsel II,25
State Counsel III,26
State Counsel IV,27
State Counsel V,28
Statistical Coordination Officer I,11
Statistical Coordination Officer II,13
Statistical Coordination Officer III,16
Statistical Coordination Officer IV,19
Statistical Coordination Officer V,22
Statistical Coordination Officer VI,24
Statistician Aide,4
Statistician I,11
Statistician II,15
Statistician III,18
Statistician IV,22
Statistician V,24
Stenographer I,4
Stenographer II,6
Stenographer III,9
Stenographer to the President,15
Stenographic Reporter I,7
Stenographic Reporter II,9
Stenographic Reporter III,11
Stenographic Reporter IV,13
Steward,5
Stitcher I,2
Stitcher II,4
Stitcher III,7
Storekeeper I,4
Storekeeper II,6
Storekeeper III,9
Storekeeper IV,11
Student Records Evaluator I,11
Student Records Evaluator II,15
Student Records Evaluator III,18
Student Records Evaluator IV,22
SUC Executive Vice-President,29
SUC President I,27
SUC President II,28
SUC President III,29
SUC President IV,30
SUC Vice-President I,25
SUC Vice-President II,26
SUC Vice-President III,27
SUC Vice-President IV,28
Superintendent of Printing,26
Supervising Administrative Officer,22
Supervising Agrarian Reform Program Officer,22
Supervising Agriculturist,22
Supervising Air Navigation System Specialist,22
Supervising Air Traffic Controller,22
Supervising Airways Communicator,22
Supervising Aquaculturist,22
Supervising Archivist,22
Supervising Auditing Systems Specialist,22
Supervising Aviation Safety Regulation Officer,22
Supervising Bookbinder,16
Supervising Budget and Management Specialist,22
Supervising Communication Development Officer,22
Supervising Cooperatives Development Specialist,22
Supervising Customs Operations Officer,22
Supervising Defense Research Officer,22
Supervising Economic Development Specialist,22
Supervising Ecosystems Management Specialist,22
Supervising Education Program Specialist,22
Supervising Electrotyper,16
Supervising Emigrant Services Officer,22
Supervising Energy Regulation Officer,22
Supervising Environmental Management Specialist,22
Supervising Fiber Development Officer,22
Supervising Fidelity Bond Examiner,22
Supervising Financial Management Specialist,22
Supervising Fishing Regulations Officer,22
Supervising Foreign Affairs Research Specialist,22
Supervising Forest Management Specialist,22
Supervising Geologist,22
Supervising Health Program Officer,22
Supervising Historic Sites Development Officer,22
Supervising History Researcher,22
Supervising Home Management Specialist,22
Supervising Immigration Officer,22
Supervising Industrial Design Specialist,22
Supervising Insurance Specialist,22
Supervising Investments Specialist,22
Supervising Judicial Staff Officer,23
Supervising Labor and Employment Officer,22
Supervising Language Researcher,22
Supervising Legislative Staff Officer I,23
Supervising Legislative Staff Officer II,24
Supervising Legislative Staff Officer III,25
Supervising Local Treasury Examiner,22
Supervising Manpower Development Officer,22
Supervising Maritime Industry Development Specialist,22
Supervising Meat Control Officer,22
Supervising Metallurgist,22
Supervising News Editor,22
Supervising Parole Officer,23
Supervising Penal Institution Program Officer,22
Supervising Personnel Specialist,22
Supervising Photoengraver,16
Supervising Political Affairs Officer,25
Supervising Political Affairs Officer I,22
Supervising Political Affairs Officer II,23
Supervising Postal Service Officer,22
Supervising Pressman,16
Supervising Probation Officer,22
Supervising Professional Regulations Officer,22
Supervising Public Utilities Regulation Officer,22
Supervising Records Management Analyst,22
Supervising Remote Sensing Technologist,22
Supervising Scholarship Affairs Officer,22
Supervising Science Research Specialist,22
Supervising Securities and Exchange Specialist,22
Supervising Shipbuilding Specialist,22
Supervising Shipping Operations Specialist,22
Supervising Shrine Curator,22
Supervising Sports and Games Regulation Officer,22
Supervising Tariff Specialist,22
Supervising Tax Specialist,22
Supervising Technical Audit Specialist,22
Supervising Technical Education and Skills Development Specialis,22
Supervising Telegraphic Transfer Service Officer,22
Supervising Tourism Operations Officer,22
Supervising Trade-Industry Development Specialist,22
Supervising Transportation Development Officer,22
Supervising Transportation Regulation Officer,22
Supervising Typesetter,16
Supervising Veterans Assistance Officer,22
Supervising Volunteer Service Officer,22
Supervising Water Resources Development Officer,22
Supervising Weather Facilities Specialist,21
Supervising Weather Specialist,21
Supervisor of Student Teaching,18
Supplies Checker,4
Supply Officer I,10
Supply Officer II,14
Supply Officer III,18
Supply Officer IV,22
Supply Officer V,24
Surveyman,6
Tailor,3
Tariff Specialist I,11
Tariff Specialist II,15
Tax Mapper I,11
Tax Mapper II,15
Tax Mapper III,18
Tax Mapper IV,22
Tax Mapper V,24
Tax Mapping Aide,4
Tax Mapping Examiner,11
Tax Specialist I,11
Tax Specialist II,15
Teacher Credentials Evaluator I,13
Teacher Credentials Evaluator II,15
Teacher Credentials Evaluator III,18
Teacher I,11
Teacher II,12
Teacher III,13
Teachers’ Camp Superintendent,24
Teaching-Aids Specialist,11
Technical Audit Analyst,11
Technical Audit Specialist I,13
Technical Audit Specialist II,16
Technical Education and Skills Development Analyst,11
Technical Education and Skills Development Specialist I,13
Technical Education and Skills Development Specialist II,16
Technician Education Specialist I,11
Technician Education Specialist II,15
Technician Education Specialist III,18
Technician Education Specialist IV,22
Technician Education Specialist V,24
Telecommunications District Officer,24
Telecommunications Traffic Supervisor,18
Telegram Carrier,4
Telegraphic Transfer Service Assistant,8
Telegraphic Transfer Service Officer I,11
Telegraphic Transfer Service Officer II,15
Test Specialist I,11
Test Specialist II,15
Test Specialist III,18
Test Technician I,6
Test Technician II,8
Textbook Editor,11
Third Mate,13
Ticket Checker,3
Toolmaker Foreman,9
Toolmaker General Foreman,11
Toolmaker I,4
Toolmaker II,6
Tourism Operations Assistant,7
Tourism Operations Officer I,11
Tourism Operations Officer II,15
Tourist Receptionist I,8
Tourist Receptionist II,10
Tourist Receptionist III,13
Toxicologist I,11
Toxicologist II,15
Toxicologist III,18
Tracer,3
Trade Commissioner,29
Trade Control Examiner I,11
Trade Control Examiner II,15
Trade Control Examiner III,18
Trade-Industry Development Analyst,11
Trade-Industry Development Specialist,15
Traffic Aide I,3
Traffic Aide II,5
Traffic Aide III,7
Traffic Operations Officer I,11
Traffic Operations Officer II,15
Traffic Operations Officer III,18
Traffic Operations Officer IV,22
Traffic Operations Officer V,24
Training Assistant,8
Training Center Superintendent I,22
Training Center Superintendent II,24
Training Specialist I,11
Training Specialist II,15
Training Specialist III,18
Training Specialist IV,22
Training Specialist V,24
Translator I,8
Translator II,11
Transportation Development Officer I,11
Transportation Development Officer II,15
Transportation Regulation Officer I,11
Transportation Regulation Officer II,15
Treasurer of the Philippines,30
Treasury Claims Processor I,6
Treasury Claims Processor II,8
Treasury Operations Assistant,9
Treasury Operations Officer I,11
Treasury Operations Officer II,13
Treasury Operations Officer III,16
Treasury Operations Officer IV,19
Tree Marker,2
Tribal Affairs Assistant I,5
Tribal Affairs Assistant II,8
Typesetter I,4
Typesetter II,6
Typesetter III,9
Typesetter IV,11
University Extension Associate I,12
University Extension Associate II,14
University Extension Specialist I,16
University Extension Specialist II,18
University Extension Specialist III,20
University Extension Specialist IV,22
University Extension Specialist V,24
University Professor,30
University Research Associate I,12
University Research Associate II,14
University Researcher I,16
University Researcher II,18
University Researcher III,20
University Researcher IV,22
University Researcher V,24
University Secretary I,28
University Secretary II,29
UP Executive Vice-President,30
UP President,31
UP Vice-President,29
Utility Foreman,6
Utility Worker I,1
Utility Worker II,3
Venom Extractor,4
Veterans Assistance Officer I,11
Veterans Assistance Officer II,15
Veterinarian I,13
Veterinarian II,16
Veterinarian III,19
Veterinarian IV,22
Veterinarian V,24
Veterinarian VI,26
Veterinarian VII,28
Vice President of the Philippines,32
Vice Presidential Staff Officer I,11
Vice Presidential Staff Officer II,13
Vice Presidential Staff Officer III,16
Vice Presidential Staff Officer IV,19
Vice Presidential Staff Officer V,22
Vice Presidential Staff Officer VI,24
Virologist,11
Vocational Instruction Supervisor I,16
Vocational Instruction Supervisor II,17
Vocational Instruction Supervisor III,18
Vocational Placement Coordinator I,13
Vocational Placement Coordinator II,15
Vocational Placement Coordinator III,18
Vocational School Administrator I,22
Vocational School Administrator II,23
Vocational School Administrator III,24
Vocational School Dean,24
Vocational School Department Head,20
Vocational School Superintendent,25
Vocational School Superintendent I,25
Vocational School Superintendent II,26
Volunteer Service Officer I,10
Volunteer Service Officer II,14
Waiter I,2
Waiter II,4
Ward Assistant,7
Wardress I,5
Wardress II,7
Warehouse Inspector,7
Warehouseman I,6
Warehouseman II,8
Warehouseman III,11
Warehouseman IV,13
Watchman I,2
Watchman II,4
Watchman III,7
Water Pump Operator,4
Water Resources Development Officer I,12
Water Resources Development Officer II,16
Water System Development Assistant,8
Water System Development Officer I,12
Water System Development Officer II,16
Water System Development Officer III,19
Waterworks Superintendent I,18
Waterworks Superintendent II,22
Waterworks Supervisor,14
Waterworks Technician,6
Weather Facilities Specialist I,15
Weather Facilities Specialist II,17
Weather Facilities Specialist III,19
Weather Facilities Technician I,9
Weather Facilities Technician II,11
Weather Facilities Technician III,13
Weather Observation Aide,4
Weather Observer I,9
Weather Observer II,11
Weather Observer III,13
Weather Observer IV,15
Weather Services Chief,24
Weather Specialist I,15
Weather Specialist II,17
Welder Foreman,9
Welder I,4
Welder II,6
Well Driller I,3
Well Driller II,5
Well Drilling Supervisor I,9
Well Drilling Supervisor II,10
Work Order Tracer,3
Youth Development Assistant I,5
Youth Development Assistant II,8
Youth Development Officer I,10
Youth Development Officer II,14
Youth Development Officer III,18
Youth Development Officer IV,22
Youth Development Officer V,24
Zoning Inspector I,6
Zoning Inspector II,8
Zoning Officer I,11
Zoning Officer II,15
Zoning Officer III,18
Zoning Officer IV,22
Zoologist I,11
Zoologist II,15
Zoologist III,18
Zoologist IV,22
Zoologist V,24
Zoology Technician,6
